station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours,snapshot_time
221038698,5,5,"[{'mechanical': 0}, {'ebike': 5}]",21,21,1,1,1,1770729057,16123,,2026-02-10 14:02:35.655191
82381710,0,0,"[{'mechanical': 0}, {'ebike': 0}]",12,12,1,1,1,1770729007,8051,,2026-02-10 14:02:35.655191
129145892,15,15,"[{'mechanical': 3}, {'ebike': 12}]",33,33,1,1,1,1770729038,31007,,2026-02-10 14:02:35.655191
102289046,25,25,"[{'mechanical': 21}, {'ebike': 4}]",10,10,1,1,1,1770729092,15108,,2026-02-10 14:02:35.655191
124402232,8,8,"[{'mechanical': 3}, {'ebike': 5}]",31,31,1,1,1,1770728906,19040,,2026-02-10 14:02:35.655191
27415327,16,16,"[{'mechanical': 10}, {'ebike': 6}]",7,7,1,1,1,1770728931,17047,,2026-02-10 14:02:35.655191
1063404053,3,3,"[{'mechanical': 1}, {'ebike': 2}]",16,16,1,1,1,1770729018,41204,,2026-02-10 14:02:35.655191
989753852,1,1,"[{'mechanical': 1}, {'ebike': 0}]",19,19,1,1,1,1770728547,17121,,2026-02-10 14:02:35.655191
82577019,9,9,"[{'mechanical': 6}, {'ebike': 3}]",21,21,1,1,1,1770728991,19009,,2026-02-10 14:02:35.655191
39256416,5,5,"[{'mechanical': 2}, {'ebike': 3}]",41,41,1,1,1,1770729098,18109,,2026-02-10 14:02:35.655191
255207155,4,4,"[{'mechanical': 0}, {'ebike': 4}]",15,15,1,1,1,1770729028,19038,,2026-02-10 14:02:35.655191
63769334,0,0,"[{'mechanical': 0}, {'ebike': 0}]",37,37,1,1,1,1770728585,18029,,2026-02-10 14:02:35.655191
129136818,3,3,"[{'mechanical': 1}, {'ebike': 2}]",20,20,1,1,1,1770728577,21703,,2026-02-10 14:02:35.655191
653080986,8,8,"[{'mechanical': 6}, {'ebike': 2}]",10,10,1,1,1,1770729018,35017,,2026-02-10 14:02:35.655191
27415469,0,0,"[{'mechanical': 0}, {'ebike': 0}]",24,24,1,1,1,1770728539,20118,,2026-02-10 14:02:35.655191
84979504,24,24,"[{'mechanical': 19}, {'ebike': 5}]",0,0,1,1,1,1770729061,9031,,2026-02-10 14:02:35.655191
653059015,3,3,"[{'mechanical': 0}, {'ebike': 3}]",27,27,1,1,1,1770728719,9117,,2026-02-10 14:02:35.655191
85120104,0,0,"[{'mechanical': 0}, {'ebike': 0}]",14,14,1,1,1,1770728937,20023,,2026-02-10 14:02:35.655191
205047993,8,8,"[{'mechanical': 1}, {'ebike': 7}]",38,38,1,1,1,1770728935,14002,,2026-02-10 14:02:35.655191
101748685,16,16,"[{'mechanical': 13}, {'ebike': 3}]",26,26,1,1,1,1770729128,15035,,2026-02-10 14:02:35.655191
54000608,31,31,"[{'mechanical': 9}, {'ebike': 22}]",24,24,1,1,1,1770729114,18049,,2026-02-10 14:02:35.655191
121025345,3,3,"[{'mechanical': 0}, {'ebike': 3}]",7,7,1,1,1,1770729127,10020,,2026-02-10 14:02:35.655191
213692714,0,0,"[{'mechanical': 0}, {'ebike': 0}]",24,24,1,1,1,1770728610,18113,,2026-02-10 14:02:35.655191
11218807773,7,7,"[{'mechanical': 4}, {'ebike': 3}]",40,40,1,1,1,1770728805,34010,,2026-02-10 14:02:35.655191
54000598,4,4,"[{'mechanical': 2}, {'ebike': 2}]",20,20,1,1,1,1770729107,17046,,2026-02-10 14:02:35.655191
2515976231,20,20,"[{'mechanical': 4}, {'ebike': 16}]",0,0,1,1,1,1770728795,92004,,2026-02-10 14:02:35.655191
66491394,7,7,"[{'mechanical': 4}, {'ebike': 3}]",36,36,1,1,1,1770729040,11041,,2026-02-10 14:02:35.655191
102743096,2,2,"[{'mechanical': 1}, {'ebike': 1}]",24,24,1,1,1,1770728663,31703,,2026-02-10 14:02:35.655191
126175087,7,7,"[{'mechanical': 4}, {'ebike': 3}]",18,18,1,1,1,1770729109,35003,,2026-02-10 14:02:35.655191
1057184567,4,4,"[{'mechanical': 2}, {'ebike': 2}]",29,29,1,1,1,1770728734,31025,,2026-02-10 14:02:35.655191
101746493,15,15,"[{'mechanical': 12}, {'ebike': 3}]",38,38,1,1,1,1770728825,15031,,2026-02-10 14:02:35.655191
27363137,14,14,"[{'mechanical': 8}, {'ebike': 6}]",8,8,1,1,1,1770729084,21014,,2026-02-10 14:02:35.655191
653050378,45,45,"[{'mechanical': 35}, {'ebike': 10}]",1,1,1,1,1,1770729109,5121,,2026-02-10 14:02:35.655191
82404497,24,24,"[{'mechanical': 22}, {'ebike': 2}]",13,13,1,1,1,1770728768,11006,,2026-02-10 14:02:35.655191
1968156458,27,27,"[{'mechanical': 21}, {'ebike': 6}]",7,7,1,1,1,1770728906,47005,,2026-02-10 14:02:35.655191
991351798,2,2,"[{'mechanical': 1}, {'ebike': 1}]",15,15,1,1,1,1770729069,19127,,2026-02-10 14:02:35.655191
7304,13,13,"[{'mechanical': 2}, {'ebike': 11}]",1,1,1,1,1,1770728987,16015,,2026-02-10 14:02:35.655191
43255030,25,25,"[{'mechanical': 21}, {'ebike': 4}]",21,21,1,1,1,1770729130,17040,,2026-02-10 14:02:35.655191
1002738770,27,27,"[{'mechanical': 21}, {'ebike': 6}]",0,0,1,1,1,1770729114,1120,,2026-02-10 14:02:35.655191
15409531,4,4,"[{'mechanical': 3}, {'ebike': 1}]",12,12,1,1,1,1770728676,14112,,2026-02-10 14:02:35.655191
29327,4,4,"[{'mechanical': 3}, {'ebike': 1}]",16,16,1,1,1,1770728925,47004,,2026-02-10 14:02:35.655191
36298,7,7,"[{'mechanical': 2}, {'ebike': 5}]",10,10,1,1,1,1770728921,9026,,2026-02-10 14:02:35.655191
37903195,23,23,"[{'mechanical': 21}, {'ebike': 2}]",4,4,1,1,1,1770728786,21001,,2026-02-10 14:02:35.655191
102313219,2,2,"[{'mechanical': 1}, {'ebike': 1}]",31,31,1,1,1,1770729120,18033,,2026-02-10 14:02:35.655191
100906707,11,11,"[{'mechanical': 9}, {'ebike': 2}]",30,30,1,1,1,1770728957,11010,,2026-02-10 14:02:35.655191
624177860,32,32,"[{'mechanical': 21}, {'ebike': 11}]",18,18,1,1,1,1770729099,16122,,2026-02-10 14:02:35.655191
27369223,4,4,"[{'mechanical': 3}, {'ebike': 1}]",13,13,1,1,1,1770729033,15002,,2026-02-10 14:02:35.655191
102336814,12,12,"[{'mechanical': 11}, {'ebike': 1}]",11,11,1,1,1,1770729025,21310,,2026-02-10 14:02:35.655191
484423835,22,22,"[{'mechanical': 18}, {'ebike': 4}]",4,4,1,1,1,1770728755,23007,,2026-02-10 14:02:35.655191
54000618,0,0,"[{'mechanical': 0}, {'ebike': 0}]",32,32,1,1,1,1770729035,20016,,2026-02-10 14:02:35.655191
653059879,8,8,"[{'mechanical': 4}, {'ebike': 4}]",31,31,1,1,1,1770728831,32015,,2026-02-10 14:02:35.655191
